Aligner,Metric,Mean,Std,Min,Max,Count
mea,column_identity,0.774647494350582,0.32444287063535926,0.08928571428571429,1.0,100
viterbi,column_identity,0.7861538498256065,0.3126626068815568,0.08928571428571429,1.0,100
mea,f1,0.8904447603518914,0.17694630055039712,0.0995475113122172,1.0,100
viterbi,f1,0.8865278790071096,0.1779066010073296,0.11244979919678715,1.0,100
mea,precision,0.887674507039065,0.18064379665382194,0.09482758620689655,1.0,100
viterbi,precision,0.883339947811437,0.1819189437528482,0.1076923076923077,1.0,100
mea,recall,0.893560998630451,0.17337489300121878,0.10476190476190476,1.0,100
viterbi,recall,0.890105208861437,0.17395445203804705,0.11764705882352941,1.0,100
mea,sensitivity,0.893560998630451,0.17337489300121878,0.10476190476190476,1.0,100
viterbi,sensitivity,0.890105208861437,0.17395445203804705,0.11764705882352941,1.0,100
mea,specificity,0.9991472110421558,0.0014383550065528452,0.9920728622027324,1.0,100
viterbi,specificity,0.999095013725,0.0014884340532110682,0.9919041996964075,1.0,100
