family,pair_id,gamma,seq_len_x,seq_len_y,total_mass,mass_mea,mass_vit,delta_mass,delta_mass_pct,num_mea,num_vit,num_shared,mass_shared,mass_mea_only,mass_vit_only,mean_post_mea,mean_post_vit,efficiency_mea,efficiency_vit,jaccard
RF00058,RF00058_0.sto_0,0.01,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.1,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.125,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.25,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.375,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.5,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.625,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.75,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.875,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_0.sto_0,0.95,168,171,166.6027351007536,163.4874268984703,163.36322925964524,0.12419763882505208,0.07454717880228263,167,167,166,162.95748267745907,0.5299442210112285,0.40574658218616877,0.9789666281345525,0.9782229296984742,0.9789666281345526,0.9782229296984745,0.9880952380952381
RF00058,RF00058_1.sto_0,0.01,168,171,165.82696576088884,157.49941655146665,163.03780561484322,-5.53838906337657,-3.339860340544703,168,166,157,155.73491700545904,1.7644995460075907,7.302888609384109,0.9374965270920632,0.9821554555111033,0.9374965270920634,0.9821554555111037,0.8870056497175142
RF00058,RF00058_1.sto_0,0.1,168,171,165.82696576088884,157.49941655146665,163.03780561484322,-5.53838906337657,-3.339860340544703,168,166,157,155.73491700545904,1.7644995460075907,7.302888609384109,0.9374965270920632,0.9821554555111033,0.9374965270920634,0.9821554555111037,0.8870056497175142
RF00058,RF00058_1.sto_0,0.125,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.25,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.375,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.5,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.625,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.75,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.875,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_1.sto_0,0.95,168,171,165.82696576088884,163.14715982694852,163.03780561484322,0.10935421210530194,0.06594477056462773,166,166,165,162.59394575306504,0.5532140738834993,0.4438598617781669,0.9828142158249907,0.9821554555111033,0.9828142158249911,0.9821554555111037,0.9880239520958084
RF00058,RF00058_2.sto_0,0.01,171,171,168.96817933924987,156.9748124099798,166.5250476658561,-9.550235255876316,-5.652090999158845,170,169,159,156.75120102253348,0.22361138744630984,9.7738466433227,0.923381249470469,0.9853553116322847,0.9233812494704694,0.9853553116322846,0.8833333333333333
RF00058,RF00058_2.sto_0,0.1,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.125,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.25,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.375,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
RF00058,RF00058_2.sto_0,0.5,171,171,168.96817933924987,166.74990991048847,166.5250476658561,0.22486224463236226,0.13307963991308075,169,169,168,166.14372586528242,0.6061840452060422,0.3813218005736977,0.9866858574585116,0.9853553116322847,0.9866858574585117,0.9853553116322846,0.9882352941176471
